PlayerID,Age,Gender,Location,PlayTimeHours,SessionsPerWeek,AvgSessionDurationMinutes,EngagementLevel,GameGenre,GameDifficulty,PlayerLevel,AchievementsUnlocked,InGamePurchases,Age_range,PlayTimeHours_range,SessionsPerWeek_range,AvgSessionDurationMinutes_range,PlayerLevel_range,AchievementsUnlocked_range
9000,43,Male,Other,17,6,108,Medium,Strategy,Medium,79,25,0,40-49	,12-17	,5-9	,94-136	,74-99	,24-36	
9001,29,Female,USA,6,5,144,Medium,Strategy,Medium,11,10,0,24-31	,1-6	,5-9	,137-179	,1-25	,0-11	
9002,22,Female,USA,9,16,142,High,Sports,Easy,35,41,0,15-23	,7-11	,14-19	,137-179	,26-49	,37-49	
9003,35,Male,USA,6,9,85,Medium,Action,Easy,57,47,1,32-39	,1-6	,5-9	,52-93	,50-73	,37-49	
9004,33,Male,Europe,16,2,131,Medium,Action,Medium,95,37,0,32-39	,12-17	,0-4	,94-136	,74-99	,37-49	
9005,37,Male,Europe,21,2,81,Low,RPG,Easy,74,22,0,32-39	,18-24	,0-4	,52-93	,74-99	,12-23	
9006,25,Male,USA,10,1,50,Low,Action,Hard,13,2,0,24-31	,7-11	,0-4	,10-51	,1-25	,0-11	
9007,25,Female,Asia,5,10,48,Medium,RPG,Medium,27,23,0,24-31	,1-6	,10-13	,10-51	,26-49	,12-23	
9008,38,Female,Europe,19,5,101,Medium,Simulation,Easy,23,41,0,32-39	,18-24	,5-9	,94-136	,1-25	,37-49	
9009,38,Female,Other,24,13,95,High,Sports,Easy,99,36,0,32-39	,18-24	,10-13	,94-136	,74-99	,24-36	
9010,17,Male,USA,5,8,95,High,Strategy,Hard,14,12,0,15-23	,1-6	,5-9	,94-136	,1-25	,12-23	
9011,36,Female,Asia,6,16,124,High,Simulation,Easy,62,31,1,32-39	,1-6	,14-19	,94-136	,50-73	,24-36	
9012,16,Male,USA,19,9,18,High,Sports,Easy,52,32,1,15-23	,18-24	,5-9	,10-51	,50-73	,24-36	
9013,38,Female,USA,9,0,156,Low,Strategy,Easy,33,47,0,32-39	,7-11	,0-4	,137-179	,26-49	,37-49	
9014,44,Male,USA,18,8,41,Low,Simulation,Easy,98,1,0,40-49	,18-24	,5-9	,10-51	,74-99	,0-11	
9015,16,Male,Europe,8,10,156,High,RPG,Medium,58,24,0,15-23	,7-11	,10-13	,137-179	,50-73	,24-36	
9016,35,Male,Asia,18,16,154,High,Strategy,Easy,62,4,0,32-39	,18-24	,14-19	,137-179	,50-73	,0-11	
9017,47,Male,USA,18,2,131,Low,RPG,Medium,13,9,0,40-49	,18-24	,0-4	,94-136	,1-25	,0-11	
9018,26,Female,Asia,20,3,135,Medium,Action,Easy,77,25,0,24-31	,18-24	,0-4	,94-136	,74-99	,24-36	
9019,36,Female,Asia,20,4,56,Low,RPG,Easy,21,30,0,32-39	,18-24	,0-4	,52-93	,1-25	,24-36	
9020,39,Female,USA,2,2,177,Medium,Sports,Easy,34,37,0,32-39	,1-6	,0-4	,137-179	,26-49	,37-49	
9021,41,Female,USA,17,18,159,High,Sports,Easy,36,33,0,40-49	,12-17	,14-19	,137-179	,26-49	,24-36	
9022,42,Male,USA,11,2,120,Low,Sports,Medium,81,5,0,40-49	,7-11	,0-4	,94-136	,74-99	,0-11	
9023,30,Male,Europe,18,14,117,High,Strategy,Easy,40,19,0,24-31	,18-24	,14-19	,94-136	,26-49	,12-23	
9024,29,Male,Europe,23,12,161,High,Sports,Medium,1,22,0,24-31	,18-24	,10-13	,137-179	,1-25	,12-23	
9025,17,Female,USA,11,4,82,Medium,Sports,Hard,1,7,0,15-23	,7-11	,0-4	,52-93	,1-25	,0-11	
9026,21,Male,USA,5,12,118,High,Strategy,Medium,71,26,0,15-23	,1-6	,10-13	,94-136	,50-73	,24-36	
9027,35,Male,USA,15,18,177,High,Sports,Easy,59,18,0,32-39	,12-17	,14-19	,137-179	,50-73	,12-23	
9028,23,Male,Europe,4,14,57,Medium,Simulation,Easy,2,1,0,15-23	,1-6	,14-19	,52-93	,1-25	,0-11	
9029,32,Female,USA,5,1,155,Low,Sports,Easy,85,37,0,32-39	,1-6	,0-4	,137-179	,74-99	,37-49	
9030,18,Female,Asia,23,3,67,Low,Simulation,Easy,35,2,0,15-23	,18-24	,0-4	,52-93	,26-49	,0-11	
9031,39,Male,USA,4,5,70,Medium,Sports,Easy,50,11,1,32-39	,1-6	,5-9	,52-93	,50-73	,0-11	
9032,28,Female,Europe,15,0,127,Low,Action,Hard,48,48,0,24-31	,12-17	,0-4	,94-136	,26-49	,37-49	
9033,23,Male,USA,19,19,48,Medium,Simulation,Hard,62,42,0,15-23	,18-24	,14-19	,10-51	,50-73	,37-49	
